,phrase,label,sentiment,subjectivity,language,count
Bochum,Bochum,ORG,0.13999999999999996,0.0,de,10
Nationalspieler,Nationalspieler,ORG,0.2,0.0,de,10
VfL Osnabrück,VfL Osnabrück,ORG,0.1,0.0,de,10
Die Linke,Die Linke,ORG,-0.35124999999999995,0.05,de,10
SPOX,SPOX,ORG,0.0,0.0,de,10
Karlsruher SC,Karlsruher SC,ORG,0.37,0.0,de,10
Augsburg,Augsburg,ORG,0.16999999999999998,0.0,de,10
BILDplus,BILDplus,ORG,0.0,0.0,de,10
Frauen-Bundesliga,Frauen-Bundesliga,ORG,0.03749999999999999,0.025,de,10
FC Heidenheim,FC Heidenheim,ORG,0.0,0.0,de,9
WELT,WELT,ORG,0.7000000000000001,0.0,de,9
Dortmund,Dortmund,ORG,0.0,0.2222222222222222,de,9
Azmoun,Azmoun,ORG,0.4222222222222222,0.0,de,9
Darmstadt,Darmstadt,ORG,0.1592592592592593,0.0,de,9
Borussia,Borussia,ORG,-0.01666666666666667,0.0,de,9
Red Bull Salzburg,Red Bull Salzburg,ORG,0.06666666666666668,0.0,de,9
Deutsche Fußball Liga,Deutsche Fußball Liga,ORG,0.0,0.0,de,9
Fußball-Liga,Fußball-Liga,ORG,0.0,0.0,de,9
Grifo,Grifo,ORG,0.06874999999999999,0.0,de,8
West Ham,West Ham,ORG,-0.26249999999999996,0.0,de,8
Fortuna Düsseldorf,Fortuna Düsseldorf,ORG,0.037500000000000006,0.0,de,8
FK TSC Backa Topola,FK TSC Backa Topola,ORG,0.10625,0.0,de,8
Conference League,Conference League,ORG,0.0,0.0,de,8
Dynamo Dresden,Dynamo Dresden,ORG,0.25,0.0,de,8
Bayern,Bayern,ORG,-0.2125,0.0,de,8
RTL,RTL,ORG,0.24285714285714285,0.0,de,7
MSV Duisburg,MSV Duisburg,ORG,0.09999999999999999,0.0,de,7
HSV,HSV,ORG,0.2857142857142857,0.0,de,7
RB Salzburg,RB Salzburg,ORG,0.14285714285714285,0.0,de,7
SV Wehen Wiesbaden,SV Wehen Wiesbaden,ORG,0.0,0.0,de,7
Paderborn,Paderborn,ORG,0.0,0.0,de,7
SV Elversberg,SV Elversberg,ORG,0.021428571428571432,0.0,de,7
KSC,KSC,ORG,0.14285714285714285,0.0,de,7
