0,1,2,3,4,word,summary
4488.598092104189,-0.41581507137935925,-0.02129234994763192,0.0021684942313986433,-9.71523419841863e-06,summaryOfAllWords,3976.408364661319
-3.2482933934193956,0.0815524582202796,-0.7013385849775092,0.2017920606196721,0.0004510567155665989,Mehr,2.8241438385398716
-2.566261237384574,0.6013985814978784,-0.9163447680656498,0.2528165821096418,0.00043229943772918154,Ertrag,3.658871033577098
-2.566261237384574,0.6013985814978783,-0.9163447680656507,0.25281658210963626,0.0004322994377177737,mehr ertrag,3.658871033577098
-3.172479862172482,0.13988855893642446,-0.7309302089938986,0.20803922990746623,0.00044447101694521785,2021,2.9169206924464586
-3.1724798621724806,0.13988855893642532,-0.7309302089938994,0.20803922990746504,0.0004444710169461198,ertrag 2021,2.9169206924464586
-1.8943828915984133,1.0918688201515,-1.0499176182485404,0.2615633269456418,0.00040405516540658893,Weinernte,4.473776106506892
-3.136901385952401,0.1671992097215618,-0.7441532486160316,0.2105142800719951,0.00044138253196478243,2021 weinernte,2.9604484070235055
2.830539118053045,4.288943591830932,-1.360609223734299,0.7052623019229733,0.00048538704756147824,Deutschland,10.130763026473184
-3.03888765377004,0.2421744488082121,-0.7785821113833433,0.21595733776839304,0.0004328214353938605,weinernte deutschland,3.080297246156007
-0.1340068976413001,2.5562915410839304,-1.1645980005065977,1.0822041501900592,0.0011523689666607766,fällt,6.727892830639184
-1.82171738150792,1.3371675251241577,-1.0278170593253821,0.9325050806785745,0.0012185705661902759,deutschland fall,4.673116197111127
2.324044524099633,3.922298682738855,-1.3620501647723628,0.5082891028344494,0.00035878900866507586,besser,9.506998132292432
-2.256106915811182,0.9166385654785961,-0.9933812767037732,0.6378472649926208,0.0009060118310695012,fall gut,4.087011738485977
3.885838651449448,4.836064126783372,-1.3770256022684964,0.2645080275917219,-4.804567947713619e-05,erwartet,11.303157164202565
-1.9575778272428854,1.0920863465301403,-1.050869174207593,0.49004343577755777,0.0006869601559993628,gut erwart,4.424901038792862
21.399460274099646,13.789254403868739,0.0783950995554081,0.0572667669196841,-0.004624474809342059,Die,31.004227810989605
0.681507657957467,2.8211556664157738,-1.2805764362002772,0.15347718440591987,0.000141716417475137,erwart die,7.537751205639376
10.267633320973632,8.866952883455392,-1.236691055553497,1.305284557246561,-3.451345894384534e-05,Weinlese,18.852233515934607
5.896594855954026,6.162043241764381,-1.3743068400199887,0.8132959607145644,0.00020868635825177295,die weinlese,13.71225912378316
-1.982978522934663,0.6886342214113746,-0.4917772575302707,0.4359320644999891,-5.0826935322653154e-05,Deutschlands,4.24189133475361
3.2535188236529886,4.550359658927346,-1.3675424213725986,0.714138820963963,0.00044634695990542953,weinlese deutschland,10.625809309542488
-2.836364010358207,0.4027129384078248,-0.848550861903591,0.2741625800605838,0.000488605465531359,Anbaugebieten,3.332029610772562
-2.836364010358207,0.4027129384078248,-0.848550861903591,0.2741625800605838,0.000488605465531359,deutschland anbaugebiet,3.332029610772562
-2.0526164480256437,0.7715189701029723,-0.7372966445683455,0.34191613848291313,0.00014271524448017955,mehr,4.203572445500324
-3.05086115939296,0.23675238036276064,-0.7790249313531888,0.24585621120372236,0.00047887471067685174,anbaugebiet mehr,3.0680877662742136
-3.139130981461669,0.16819544950282309,-0.746967555107668,0.2337316659090679,0.00047683128015576137,geliefert,2.95950623751148
-3.139130981461669,0.16819544950282309,-0.746967555107668,0.2337316659090679,0.00047683128015576137,ertrag liefer,2.95950623751148
-3.214935660186977,0.10923701417228297,-0.7175560503077908,0.22285853775417122,0.0004760713674630141,vergangenes,2.866299125288163
-3.214935660186977,0.10923701417228297,-0.7175560503077908,0.22285853775417122,0.0004760713674630141,liefer vergangen,2.866299125288163
-0.6529582418152962,1.55796909179954,-0.7363893446872802,0.42120758776534717,-0.00013171405565378828,Jahr,5.808057985994722
-3.2652844941744403,0.0700533297456733,-0.6969617982509787,0.21531273719892485,0.0004760967213387487,vergangen jahr,2.80442331140801
-2.950424686890625,0.10467004850515009,-0.3541310420546688,0.30009714962974093,7.476696334886153e-05,Durch,3.118580498456467
-3.3186868855183205,0.028490223666613367,-0.6741117108850301,0.20695023460827763,0.00047659924085674353,Extremwetter,2.73883244649192
-3.3186868855183205,0.028490223666613367,-0.6741117108850301,0.20695023460827763,0.00047659924085674353,durch extremwetter,2.73883244649192
-3.353967172832564,0.0010396575109766326,-0.6584066934598235,0.20118439057151896,0.00047720389003719064,gab,2.6955264454434467
-3.353967172832564,0.0010396575109766326,-0.6584066934598235,0.20118439057151896,0.00047720389003719064,extremwetter geb,2.6955264454434467
-3.370688336277685,-0.011965924563256769,-0.6507846891254306,0.19837567013594792,0.000477566720281991,jedoch,2.6750101778628044
-3.370688336277685,-0.011965924563256769,-0.6507846891254306,0.19837567013594792,0.000477566720281991,geb jedoch,2.6750101778628044
-3.386090293058612,-0.023941788329660447,-0.6436587885661533,0.19574176675788155,0.0004779443512423893,regional,2.656118010326975
-3.386090293058612,-0.023941788329660447,-0.6436587885661533,0.19574176675788155,0.0004779443512423893,jedoch regional,2.656118010326975
-3.404219550021107,-0.038032800353685885,-0.6351382979287468,0.1925805555370914,0.00047844213206611725,Unterschiede,2.6338877742936146
-3.404219550021107,-0.038032800353685885,-0.6351382979287468,0.1925805555370914,0.00047844213206611725,regional unterschied,2.6338877742936146
-1.7860350111213945,0.7287993029947452,0.6480468435609871,0.5299326205463905,-0.0009757710435075801,Nach,4.494121777859745
-3.437452815286569,-0.06384403807788512,-0.6191327031358765,0.186601014997467,0.00047950348880486507,ergiebigen,2.593159395046638
