index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.transfermarkt.de/ex-freiburger-kammerbauer-schliesst-sich-sc-verl-an-bdquo-er-kann-eine-junge-mannschaft-fuhren-ldquo-/view/news/417628,https://www.transfermarkt.de/ex-freiburger-kammerbauer-schliesst-sich-sc-verl-an-bdquo-er-kann-eine-junge-mannschaft-fuhren-ldquo-/view/news/417628,0,www.transfermarkt.de,Ex-SC Freiburg: SC Verl nimmt Patrick Kammerbauer unter Vertrag,Der SC Verl hat kurz vor Transferschluss noch mal in der Mittelfeldzentrale nachgelegt. Die Ostwestfalen haben am Deadline Day Patrick Kammerbauer verpflichtet. Der 25-Jährige war zuletzt ein...,https://tmssl.akamaized.net/images/foto/big/patrick-kammerbauer-sc-freiburg-2022-1675258740-101212.jpg?lm=1675258763,2023-02-01T13:41:45Z,https://web.archive.org/web/20230201163114/https://www.transfermarkt.de/ex-freiburger-kammerbauer-schliesst-sich-sc-verl-an-bdquo-er-kann-eine-junge-mannschaft-fuhren-ldquo-/view/news/417628,Der SC Verl hat kurz vor Transferschluss noch mal in der Mittelfeldzentrale nachgelegt. Die Ostwestfalen haben am Deadline Day Patrick Kammerbauer verpflichtet. Der 25-Jährige war zuletzt ein halbes … [+815 chars],,de,'SC Freiburg'
https://www.kicker.de/stadt-und-sc-freiburg-verlaengern-mietvertrag-fuers-dreisamstadion-935515/artikel,https://www.kicker.de/stadt-und-sc-freiburg-verlaengern-mietvertrag-fuers-dreisamstadion-935515/artikel,0,www.kicker.de,Stadt und SC Freiburg verlängern Mietvertrag fürs Dreisamstadion,Der Sport-Club und die Stadt Freiburg stehen auch weiterhin in einem Mietverhältnis wegen des Dreisamstadions.,"https://derivates.kicker.de/image/upload/c_crop,x_0,y_216,w_2000,h_1125/w_1200,q_auto/v1/2023/02/01/1e3d62b5-3e0e-4caf-9373-ac43a7fcee2a.jpeg",2023-02-01T14:39:17Z,https://web.archive.org/web/20230202064801/https://www.kicker.de/stadt-und-sc-freiburg-verlaengern-mietvertrag-fuers-dreisamstadion-935515/artikel,"Der Sport-Club und die Stadt Freiburg stehen auch weiterhin in einem Mietverhältnis wegen des Dreisamstadions. 
 Der Gemeinderat stimmte einer Verlängerung zu, wie die Verwaltung nach der Sitzung am… [+571 chars]",,de,'SC Freiburg'
https://www.kicker.de/eggestein-ganz-zufrieden-bin-ich-nie-935550/artikel,https://www.kicker.de/eggestein-ganz-zufrieden-bin-ich-nie-935550/artikel,0,www.kicker.de,"Eggestein: ""Ganz zufrieden bin ich nie""","Nach zehn Jahren bei Werder Bremen spielt Maximilian Eggestein seine zweite Saison für den SC Freiburg. Seine erste war sowohl für ihn als auch für den Verein sehr erfolgreich, und beide knüpfen bislang daran an.","https://derivates.kicker.de/image/upload/c_crop,x_0,y_130,w_3000,h_1687/w_1200,q_auto/v1/2023/02/01/425dfa1f-423e-458a-af99-485139012adb.jpeg",2023-02-01T19:17:13Z,,"Nach zehn Jahren bei Werder Bremen spielt Maximilian Eggestein seine zweite Saison für den SC Freiburg. Seine erste war sowohl für ihn als auch für den Verein sehr erfolgreich, und beide knüpfen bisl… [+4144 chars]",,de,'SC Freiburg'
https://www.stern.de/gesellschaft/regional/nordrhein-westfalen/bundesliga--freiburg-kassiert-ersten-platzverweis-seit-2019-33167040.html,https://www.stern.de/gesellschaft/regional/nordrhein-westfalen/bundesliga--freiburg-kassiert-ersten-platzverweis-seit-2019-33167040.html,0,www.stern.de,Bundesliga: Freiburg kassiert ersten Platzverweis seit 2019,Für den SC Freiburg ist im Bundesliga-Spiel bei Borussia Dortmund am Samstag eine lange Fair-Play-Serie zu Ende gegangen. Mit der Gelb-Roten Karte gegen Kiliann Sildillia nach zwei Foulspielen gegen Karim Adeyemi innerhalb von zwei Minuten kassierte der Sport…,https://image.stern.de/33167042/t/rs/v1/w1440/r1.7778/-/04--urnnewsmldpacom2009010123020499474325v2w800h600l563t214r2179b1382jpeg---2d26b28ed3a4bc29.jpg,2023-02-04T15:18:44Z,https://web.archive.org/web/20230204161646/https://www.stern.de/gesellschaft/regional/nordrhein-westfalen/bundesliga--freiburg-kassiert-ersten-platzverweis-seit-2019-33167040.html,Für den SC Freiburg ist im Bundesliga-Spiel bei Borussia Dortmund am Samstag eine lange Fair-Play-Serie zu Ende gegangen. Mit der Gelb-Roten Karte gegen Kiliann Sildillia nach zwei Foulspielen gegen … [+919 chars],,de,'SC Freiburg'
https://taz.de/Rueckkehr-des-Hoffnungstraegers/!5910701/,https://taz.de/Rueckkehr-des-Hoffnungstraegers/!5910701/,0,taz.de,Rückkehr des Hoffnungsträgers: Werkzeugkasten wird größer,Borussia Dortmund feiert einen deutlichen Sieg gegen den SC Freiburg. Und nach dessen Comeback auch seinen Stürmer Sébastian Haller.,https://taz.de/picture/6075984/948/32095835-1.jpeg,2023-02-05T12:28:00Z,https://web.archive.org/web/20230205135220/https://taz.de/Rueckkehr-des-Hoffnungstraegers/!5910701/,"Borussia Dortmund feiert einen deutlichen Sieg gegen den SC Freiburg. Und nach dessen Comeback auch seinen Stürmer Sébastian Haller.
Haller netzt ein Foto: ap
Julian Brandt hat schon einiges erlebt… [+4315 chars]",,de,'SC Freiburg'
https://www.kicker.de/sc-vorstand-saier-in-summe-ein-harter-aufschlag-936119/artikel,https://www.kicker.de/sc-vorstand-saier-in-summe-ein-harter-aufschlag-936119/artikel,0,www.kicker.de,"SC-Vorstand Saier: ""In Summe ein harter Aufschlag""","Der frühe Platzverweis hat dem SC Freiburg die Aufgabe in Dortmund noch schwerer gemacht, als sie ohnehin war. Er machte auch die taktische Marschroute zunichte, die sich Christian Streich zurechtgelegt hatte, um erstmals in Dortmund zu gewinnen. Die Aufbruch…","https://derivates.kicker.de/image/upload/c_crop,x_0,y_146,w_3600,h_2025/w_1200,q_auto/v1/2023/02/05/dff31b21-5bfd-4ce5-ae20-c12b547c5dbb.jpeg",2023-02-05T15:51:00Z,,"Der frühe Platzverweis hat dem SC Freiburg die Aufgabe in Dortmund noch schwerer gemacht, als sie ohnehin war. Er machte auch die taktische Marschroute zunichte, die sich Christian Streich zurechtgel… [+3787 chars]",,de,'SC Freiburg'
https://www.bild.de/bild-plus/sport/fussball/sc-freiburg/einzelkritik-note-6-fuer-diesen-freiburg-star-82794048.bild.html,https://www.bild.de/bild-plus/sport/fussball/sc-freiburg/einzelkritik-note-6-fuer-diesen-freiburg-star-82794048.bild.html,0,www.bild.de,Einzelkritik - Note 6 für diesen Freiburg-Star!,Bundesliga: Der Dortmund-Horror geht weiter! Auch zum elften Mal unter Trainer Christian Streich bleibt der SC Freiburg in Dortmund sieglos. Einzelkritik,"https://images.bild.de/63df8b23e47a5c185e080a8d/b7aaa40386e4ff8238c132c7f7e38456,ff05cacc?w=1280",2023-02-05T16:28:57Z,https://web.archive.org/web/20230205182033/https://www.bild.de/bild-plus/sport/fussball/sc-freiburg/einzelkritik-note-6-fuer-diesen-freiburg-star-82794048.bild.html,"Für Freiburg geht der Dortmund-Horror weiter: Nicht nur, dass es beim BVB die nächste Pleite setzte. Auch der erste Platzverweis für Christian Streich schlägt hohe Wellen. Und ein Profi bekam die BIL… [+7 chars]",,de,'SC Freiburg'
https://www.bild.de/bild-plus/sport/fussball/sc-freiburg/sc-freiburg-trainer-christian-streich-geht-auf-seine-bvb-versager-los-82797600.bild.html,https://www.bild.de/bild-plus/sport/fussball/sc-freiburg/sc-freiburg-trainer-christian-streich-geht-auf-seine-bvb-versager-los-82797600.bild.html,0,www.bild.de,*** BILDplus Inhalt *** „Einfache Fehlpässe“+++„Unsauber am Ball“ - Freiburg-Trainer Streich geht auf seine BVB-Versager los!,"Schon wieder verloren, schon wieder die Hütte voll bekommen! Für den SC Freiburg und Christian Streich (57) geht der Horror weiter.","https://images.bild.de/63dfda77e6d87359aca35b7a/4059b49d3850f99c20ba09bf5f01d787,a9cead2e?w=1280",2023-02-05T16:44:44Z,https://web.archive.org/web/20230205182709/https://www.bild.de/bild-plus/sport/fussball/sc-freiburg/sc-freiburg-trainer-christian-streich-geht-auf-seine-bvb-versager-los-82797600.bild.html,"Tötete Zug-Killer Ibrahim A. DOCH aus terroristischen Motiven? Ich bin auch ein Anis Amri
Tötete Zug-Killer Ibrahim A. DOCH aus terroristischen Motiven? Ich bin auch ein Anis Amri
Tötete Zug-Killer… [+708 chars]",,de,'SC Freiburg'
https://www.transfermarkt.de/freiburgs-gunter-fur-erfolg-muss-man-bdquo-nicht-uberall-einen-weltklasse-spieler-haben-ldquo-/view/news/417852,https://www.transfermarkt.de/freiburgs-gunter-fur-erfolg-muss-man-bdquo-nicht-uberall-einen-weltklasse-spieler-haben-ldquo-/view/news/417852,0,www.transfermarkt.de,SC Freiburgs Christian Günter über DFB-Team und die Linksverteidiger,Freiburgs Nationalspieler Christian Günter sieht die Leistungsdiskussion über seine Position in der DFB-Auswahl gelassen. „Hatte Argentinien überall Weltklasse...,https://tmssl.akamaized.net/images/foto/big/christian-gunter-sc-freiburg-2021-1629563385-69401.jpg?lm=1629563420,2023-02-06T09:58:38Z,,"Linksverteidiger-Frage im DFB-Team 
Freiburgs Nationalspieler Christian Günter sieht die Leistungsdiskussion über seine Position in der DFB-Auswahl gelassen. „Hatte Argentinien überall Weltklasse in… [+1994 chars]",,de,'SC Freiburg'
https://www.kicker.de/schwartz-trifft-streich-wieder-mit-fleiss-zum-matchglueck-936223/artikel,https://www.kicker.de/schwartz-trifft-streich-wieder-mit-fleiss-zum-matchglueck-936223/artikel,0,www.kicker.de,Schwartz trifft Streich wieder: Mit Fleiß zum Matchglück,"Der SV Sandhausen kam zuletzt gegen Darmstadt unter die Räder, nun aber gibt es ein ""Bonus-Spiel"": Das DFB-Pokal-Achtelfinale gegen den SC Freiburg.","https://derivates.kicker.de/image/upload/c_crop,x_310,y_44,w_1941,h_1091/w_1200,q_auto/v1/2023/02/06/768030e4-ab90-4f34-b69c-632c7602ee1e.jpeg",2023-02-06T11:22:16Z,,"Der SV Sandhausen kam zuletzt gegen Darmstadt unter die Räder, nun aber gibt es ein ""Bonus-Spiel"": Das DFB-Pokal-Achtelfinale gegen den SC Freiburg. 
 Das Team von Chefcoach Alois Schwartz steckt in… [+2388 chars]",,de,'SC Freiburg'
